#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vir6
ENSG00000160179.19,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
ENSG00000160180.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160185.15,3.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
ENSG00000160190.14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000160191.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160193.12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160194.18,6.0,3.0,3.0,3.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0
ENSG00000160199.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ENSG00000160200.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160201.12,4.0,4.0,0.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,4.0,2.0
ENSG00000160208.13,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000160209.19,23.0,3.0,2.0,15.0,9.0,2.0,3.0,5.0,3.0,0.0,9.0,7.0
ENSG00000160213.9,82.0,11.0,61.0,29.0,39.0,24.0,29.0,12.0,33.0,3.0,29.0,25.0
ENSG00000160214.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160216.21,10.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,9.0,0.0,7.0,4.0
ENSG00000160218.13,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ENSG00000160221.18,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0
ENSG00000160223.17,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160224.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000160226.16,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ENSG00000160233.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000160255.18,258.0,21.0,132.0,152.0,85.0,47.0,68.0,46.0,44.0,0.0,78.0,44.0
ENSG00000160256.13,2.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
ENSG00000160284.15,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
ENSG00000160285.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0
